,CFSAUID
31508,G0A
31578,G0A
31579,G0A
31584,G0A
31585,G0A
31587,G0A
31599,G0A
31610,G0A
31611,G0A
31612,G0A
31654,G0A
31655,G0A
31680,G0A
31681,G0A
31682,G0A
31683,G0A
31686,G0A
31688,G0A
31735,G0A
31736,G0A
31737,G0A
31763,G3S
31764,G3S
31822,G0A
31823,G0A
31824,G0A
31825,G0A
31847,G0A
31848,G0A
31849,G0A
31883,G0A
31886,G0A
31907,G0A
31979,G0A
31980,G0A
31991,G0A
31992,G0A
32018,G0A
32019,G0A
32026,G0A
32027,G0A
32042,G0A
32043,G0A
32175,G0A
32176,G0A
32268,G0A
32269,G0A
32270,G0A
32276,G0A
32277,G0A
32278,G0A
32316,G0A
32317,G0A
32318,G0A
32403,G0A
32404,G0A
32405,G0A
32406,G0A
32501,G0A
32502,G0A
32503,G0A
32504,G0A
32505,G0A
32511,G0A
32512,G0A
32513,G0A
32514,G0A
32547,G0A
32548,G0A
32549,G0A
32550,G0A
32574,G3S
32575,G3S
32683,G3S
32710,G0A
32712,G0A
32763,G0A
32798,G0A
32801,G0A
32802,G0A
32841,G3S
32869,G0A
32883,G0A
32884,G0A
32885,G0A
32886,G0A
32929,G0A
32930,G0A
32931,G0A
32932,G0A
32933,G0A
32937,G0A
32938,G0A
32939,G0A
32963,G0A
32968,G0A
32970,G3S
32971,G3S
32979,G0A
32992,G0A
32993,G0A
32994,G0A
32995,G0A
33000,G0A
33001,G0A
33002,G0A
33003,G0A
33067,G0A
33152,G3S
33165,G3S
33166,G3S
33184,G0A
33211,G0A
33212,G0A
33232,G0A
33233,G0A
33234,G0A
33267,G3C
33268,G3C
33275,G3C
33299,G3C
33300,G3C
33301,G3C
33302,G3C
33324,G3C
33325,G3C
33365,G3C
33377,G3C
33378,G3C
33417,G3C
33418,G3C
33426,G3C
33427,G3C
33479,G3C
33510,G3C
33539,G3C
33549,G3C
33551,G3C
33552,G3C
33557,G3C
33558,G3C
33608,G3C
33620,G3C
33669,G3C
33670,G3C
33684,G3C
33706,G3C
33773,G3C
33774,G3C
33807,G3C
33808,G3C
33811,G3C
33812,G3C
33817,G3C
33818,G3C
33825,G3C
33826,G3C
33864,G3C
33865,G3C
33866,G3C
33867,G3C
33868,G3C
33892,G3C
33893,G3C
33915,G3C
33916,G3C
33929,G3C
33930,G3C
33980,G3C
33981,G3C
33987,G3C
33992,G3C
33993,G3C
34041,G3C
34042,G3C
34043,G3C
34044,G3C
34045,G3C
34169,G3C
34170,G3C
34182,G3C
34205,G3C
34206,G3C
34245,G3C
34246,G3C
34258,G3C
34259,G3C
34260,G3C
34315,G3C
34316,G3C
34317,G3C
34330,G3C
34331,G3C
34332,G3C
34378,G3C
34433,G3C
34434,G3C
34460,G3C
34461,G3C
34462,G3C
34463,G3C
34464,G3C
34509,G3C
34526,G3C
34600,G3C
